Character,Sentence,Word,POS,Tag,Dependency
DUDLEY,who ’ d want to be friends with you ?,"['who', '’', 'd', 'want', 'to', 'be', 'friends', 'with', 'you', '?']","['PRON', 'PUNCT', 'NOUN', 'VERB', 'PART', 'AUX', 'NOUN', 'ADP', 'PRON', 'PUNCT']","['WP', ':', 'NN', 'VBP', 'TO', 'VB', 'NNS', 'IN', 'PRP', '.']","['dobj', 'punct', 'nsubj', 'ROOT', 'aux', 'xcomp', 'attr', 'prep', 'pobj', 'punct']"
UNCLE VERNON,i should think you ’ d be a little more grateful .,"['i', 'should', 'think', 'you', '’', 'd', 'be', 'a', 'little', 'more', 'grateful', '.']","['PRON', 'AUX', 'VERB', 'PRON', 'PUNCT', 'AUX', 'AUX', 'DET', 'ADJ', 'ADV', 'ADJ', 'PUNCT']","['PRP', 'MD', 'VB', 'PRP', ""''"", 'VB', 'VB', 'DT', 'JJ', 'RBR', 'JJ', '.']","['nsubj', 'aux', 'ROOT', 'nsubj', 'punct', 'aux', 'ccomp', 'det', 'npadvmod', 'advmod', 'acomp', 'punct']"
UNCLE VERNON,"we ’ ve raised you since you were a baby , given you the food off our table , even let you have dudley ’ s second bedroom , purely out of the goodness of our hearts .","['we', '’', 've', 'raised', 'you', 'since', 'you', 'were', 'a', 'baby', ',', 'given', 'you', 'the', 'food', 'off', 'our', 'table', ',', 'even', 'let', 'you', 'have', 'dudley', '’', 's', 'second', 'bedroom', ',', 'purely', 'out', 'of', 'the', 'goodness', 'of', 'our', 'hearts', '.']","['PRON', 'PUNCT', 'AUX', 'VERB', 'PRON', 'SCONJ', 'PRON', 'AUX', 'DET', 'NOUN', 'PUNCT', 'VERB', 'PRON', 'DET', 'NOUN', 'ADP', 'PRON', 'NOUN', 'PUNCT', 'ADV', 'VERB', 'PRON', 'VERB', 'PROPN', 'PUNCT', 'PART', 'ADJ', 'NOUN', 'PUNCT', 'ADV', 'ADP', 'ADP', 'DET', 'NOUN', 'ADP', 'PRON', 'NOUN', 'PUNCT']","['PRP', ""''"", 'VBP', 'VBN', 'PRP', 'IN', 'PRP', 'VBD', 'DT', 'NN', ',', 'VBN', 'PRP', 'DT', 'NN', 'IN', 'PRP$', 'NN', ',', 'RB', 'VB', 'PRP', 'VB', 'NNP', ""''"", 'POS', 'JJ', 'NN', ',', 'RB', 'IN', 'IN', 'DT', 'NN', 'IN', 'PRP$', 'NNS', '.']","['nsubj', 'punct', 'aux', 'ROOT', 'dobj', 'mark', 'nsubj', 'advcl', 'det', 'attr', 'punct', 'prep', 'dative', 'det', 'dobj', 'prep', 'poss', 'pobj', 'punct', 'advmod', 'conj', 'nsubj', 'ccomp', 'poss', 'punct', 'case', 'amod', 'dobj', 'punct', 'advmod', 'prep', 'prep', 'det', 'pobj', 'prep', 'poss', 'pobj', 'punct']"
AUNT PETUNIA,"not now , pupkins . for when the masons arrive .","['not', 'now', ',', 'pupkins', '.', 'for', 'when', 'the', 'masons', 'arrive', '.']","['PART', 'ADV', 'PUNCT', 'NOUN', 'PUNCT', 'ADP', 'SCONJ', 'DET', 'NOUN', 'VERB', 'PUNCT']","['RB', 'RB', ',', 'NNS', '.', 'IN', 'WRB', 'DT', 'NNS', 'VBP', '.']","['neg', 'advmod', 'punct', 'ROOT', 'punct', 'ROOT', 'advmod', 'det', 'nsubj', 'pcomp', 'punct']"
UNCLE VERNON,which should be any minute !,"['which', 'should', 'be', 'any', 'minute', '!']","['PRON', 'AUX', 'AUX', 'DET', 'NOUN', 'PUNCT']","['WDT', 'MD', 'VB', 'DT', 'NN', '.']","['nsubj', 'aux', 'ROOT', 'det', 'attr', 'punct']"
UNCLE VERNON,"ahem ... now let ’ s go over our schedule once again , shall we ?","['ahem', '...', 'now', 'let', '’', 's', 'go', 'over', 'our', 'schedule', 'once', 'again', ',', 'shall', 'we', '?']","['NOUN', 'PUNCT', 'ADV', 'VERB', 'PUNCT', 'PRON', 'VERB', 'ADP', 'PRON', 'NOUN', 'ADV', 'ADV', 'PUNCT', 'AUX', 'PRON', 'PUNCT']","['NN', '.', 'RB', 'VB', '``', 'PRP', 'VB', 'IN', 'PRP$', 'NN', 'RB', 'RB', ',', 'MD', 'PRP', '.']","['nsubj', 'punct', 'advmod', 'ccomp', 'punct', 'nsubj', 'ccomp', 'prep', 'poss', 'pobj', 'advmod', 'advmod', 'punct', 'ROOT', 'nsubj', 'punct']"
UNCLE VERNON,petunia when the masons arrive you will be ... ?,"['petunia', 'when', 'the', 'masons', 'arrive', 'you', 'will', 'be', '...', '?']","['PROPN', 'SCONJ', 'DET', 'NOUN', 'VERB', 'PRON', 'AUX', 'AUX', 'PUNCT', 'PUNCT']","['NNP', 'WRB', 'DT', 'NNS', 'VBP', 'PRP', 'MD', 'VB', '.', '.']","['nsubj', 'advmod', 'det', 'nsubj', 'advcl', 'nsubj', 'aux', 'ROOT', 'punct', 'punct']"
AUNT PETUNIA,"in the lounge , waiting to welcome them graciously into our home .","['in', 'the', 'lounge', ',', 'waiting', 'to', 'welcome', 'them', 'graciously', 'into', 'our', 'home', '.']","['ADP', 'DET', 'NOUN', 'PUNCT', 'VERB', 'PART', 'VERB', 'PRON', 'ADV', 'ADP', 'PRON', 'NOUN', 'PUNCT']","['IN', 'DT', 'NN', ',', 'VBG', 'TO', 'VB', 'PRP', 'RB', 'IN', 'PRP$', 'NN', '.']","['prep', 'det', 'pobj', 'punct', 'ROOT', 'aux', 'xcomp', 'dobj', 'advmod', 'prep', 'poss', 'pobj', 'punct']"
UNCLE VERNON,"good ! and- and dudley , you will be ... ?","['good', '!', 'and-', 'and', 'dudley', ',', 'you', 'will', 'be', '...', '?']","['ADJ', 'PUNCT', 'X', 'CCONJ', 'PROPN', 'PUNCT', 'PRON', 'AUX', 'AUX', 'PUNCT', 'PUNCT']","['JJ', '.', 'XX', 'CC', 'NNP', ',', 'PRP', 'MD', 'VB', '.', '.']","['ROOT', 'punct', 'ROOT', 'ROOT', 'npadvmod', 'punct', 'nsubj', 'aux', 'ROOT', 'punct', 'punct']"
DUDLEY,i ’ ll be waiting to open the door !,"['i', '’', 'll', 'be', 'waiting', 'to', 'open', 'the', 'door', '!']","['PRON', 'PUNCT', 'AUX', 'AUX', 'VERB', 'PART', 'VERB', 'DET', 'NOUN', 'PUNCT']","['PRP', ""''"", 'MD', 'VB', 'VBG', 'TO', 'VB', 'DT', 'NN', '.']","['nsubj', 'punct', 'aux', 'aux', 'ROOT', 'aux', 'xcomp', 'det', 'dobj', 'punct']"
